id,title,revenue,vote_count,vote_average,runtime,popularity
601131,Norm of the North: King Sized Adventure,1442504,4,7.6,90.0,8.42
415722,Jandino: Whatever it Takes,0,2,5.0,94.0,0.6
262543,Automata,0,1171,5.8,110.0,25.466
474590,Fabrizio Copano: solo pienso en mí,0,4,5.3,59.0,1.126
262338,Good People,0,324,5.5,90.0,28.195
474599,Joaquín Reyes: Una y no más,0,1,6.0,77.0,0.6
228968,Kidnapping Mr. Heineken,2633527,418,5.9,95.0,25.474
590223,Love and Monsters,0,312,7.6,109.0,476.381
302323,Manhattan Romance,0,24,4.8,94.0,5.676
272548,Moonwalkers,0,229,6.2,107.0,8.799
324300,Rolling Papers,0,11,6.0,77.0,4.74
207933,Stonehearst Asylum,0,900,6.7,112.0,24.726
277546,The Runner,0,121,4.8,90.0,12.915
323674,6 Years,0,631,5.4,84.0,11.713
47821,City of Joy,14683921,93,6.5,132.0,6.094
64215,Laddaland,0,32,6.5,117.0,5.485
523777,Next Gen,0,470,7.0,105.0,40.644
462919,Sierra Burgess Is a Loser,0,2939,6.4,105.0,22.002
478100,The Most Assassinated Woman in the World,0,48,5.4,102.0,5.978
382509,Cezanne and I,0,91,6.0,117.0,5.693
597089,Article 15,0,79,7.7,130.0,13.101
544795,C/o Kancharapalem,0,11,7.2,152.0,1.841
532789,Ee Nagaraniki Emaindi,0,8,6.8,120.0,2.145
336313,Hell & Back,157768,150,5.2,86.0,11.508
382036,PK.COM.CN,0,0,0.0,94.0,1.379
395235,Hard Tide,0,7,5.4,0.0,3.529
322506,Elstree 1976,0,27,6.2,90.0,5.639
628756,American Factory: A Short Conversation with the Obamas,0,9,5.2,10.0,2.97
89691,ATM,3010,387,5.1,91.0,10.396
72733,Bangkok Traffic Love Story,0,16,7.3,126.0,4.657
332506,I Fine..Thank You..Love You,0,27,6.9,121.0,3.966
51828,One Day,59389433,2859,7.3,107.0,24.024
37963,Phobia 2,5030049,51,5.9,125.0,4.097
11324,Shutter Island,294804195,16637,8.2,138.0,39.366
64004,Suck Seed,0,19,7.0,130.0,2.89
317560,Carrie Pilby,28430,275,7.1,98.0,12.762
474155,Marc Maron: Too Real,0,28,7.1,70.0,5.48
161208,Saawan... The Love Season,0,5,5.4,121.0,0.847
438736,The Heretics,0,52,4.8,87.0,7.616
606755,The World We Make,0,13,6.5,108.0,6.693
486673,The Watchman Chronicles,0,1,10.0,97.0,5.188
284054,Black Panther,1346739107,16267,7.4,134.0,103.072
332340,Man Up,3000000,653,6.6,88.0,9.847
635497,Mo Gilligan: Momentum,0,4,4.5,64.0,4.086
78698,Big Miracle,24719215,317,6.5,107.0,10.703
238792,The Mayor of Casterbridge,0,6,8.0,196.0,4.53
411009,Amanda Knox,0,367,6.6,92.0,9.84
513691,The Debt Collector,0,76,6.0,96.0,30.389
66765,Act of Vengeance,0,17,6.6,90.0,4.523
255343,Escobar: Paradise Lost,3758328,585,6.2,120.0,18.01
343674,Gerald's Game,0,2414,6.4,104.0,22.552
459992,Long Shot,53847136,1649,6.8,125.0,35.972
433252,Our Souls at Night,0,287,6.6,101.0,13.622
455479,Out of Thin Air,0,35,6.3,85.0,3.476
360404,"Monster High: Boo York, Boo York",0,67,7.2,72.0,16.463
648825,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,0,0,0.0,45.0,0.634
455957,Domino,0,158,4.7,89.0,16.778
636593,Tuna Girl,0,0,0.0,89.0,1.625
203113,5 cm,0,14,7.3,125.0,2.778
118275,The Animal World,0,3,7.0,82.0,1.296
395841,Hold the Dark,0,642,5.3,126.0,15.39
550860,Notes from Dunblane: Lessons from a School Shooting,0,10,6.1,23.0,6.17
661747,Seriously Single,0,104,7.3,107.0,88.765
695697,The 3rd Eye Murders,0,1,6.0,3.0,0.727
